2026-07-04 02:19:34,893 | WARNING | features.sentiment | No news table found. Run fetch_news() first.
2026-07-04 02:57:24,997 | INFO | data.fetcher | Prices saved: MA
2026-07-04 02:57:25,008 | INFO | data.fetcher | Prices saved: PG
2026-07-04 02:57:25,020 | INFO | data.fetcher | Prices saved: CVX
2026-07-04 02:57:25,032 | INFO | data.fetcher | Prices saved: HD
2026-07-04 02:57:25,043 | INFO | data.fetcher | Prices saved: MRK
2026-07-04 02:57:25,055 | INFO | data.fetcher | Prices saved: ABBV
2026-07-04 02:57:25,067 | INFO | data.fetcher | Prices saved: PEP
2026-07-04 02:57:25,079 | INFO | data.fetcher | Prices saved: KO
2026-07-04 02:57:25,091 | INFO | data.fetcher | Prices saved: AVGO
2026-07-04 02:57:25,103 | INFO | data.fetcher | Prices saved: COST
2026-07-04 02:57:25,114 | INFO | data.fetcher | Prices saved: MCD
2026-07-04 02:57:25,126 | INFO | data.fetcher | Prices saved: TMO
2026-07-04 02:57:25,137 | INFO | data.fetcher | Prices saved: ACN
2026-07-04 02:57:25,150 | INFO | data.fetcher | Prices saved: CSCO
2026-07-04 02:57:25,161 | INFO | data.fetcher | Prices saved: ABT
2026-07-04 02:57:25,173 | INFO | data.fetcher | Prices saved: DHR
2026-07-04 02:57:25,185 | INFO | data.fetcher | Prices saved: NEE
2026-07-04 02:57:25,196 | INFO | data.fetcher | Prices saved: LIN
2026-07-04 02:57:25,207 | INFO | data.fetcher | Prices saved: TXN
2026-07-04 02:57:25,218 | INFO | data.fetcher | Prices saved: PM
2026-07-04 02:57:25,231 | INFO | data.fetcher | Prices saved: ORCL
2026-07-04 02:57:25,242 | INFO | data.fetcher | Prices saved: MS
2026-07-04 02:57:25,254 | INFO | data.fetcher | Prices saved: RTX
2026-07-04 02:57:25,265 | INFO | data.fetcher | Prices saved: SPGI
2026-07-04 02:57:25,276 | INFO | data.fetcher | Prices saved: HON
2026-07-04 02:57:25,288 | INFO | data.fetcher | Prices saved: AMGN
2026-07-04 02:57:25,299 | INFO | data.fetcher | Prices saved: IBM
2026-07-04 02:57:25,311 | INFO | data.fetcher | Prices saved: CAT
2026-07-04 02:57:25,322 | INFO | data.fetcher | Prices saved: GE
2026-07-04 02:57:25,333 | INFO | data.fetcher | Prices saved: INTU
2026-07-04 02:57:25,344 | INFO | data.fetcher | Prices saved: AMAT
2026-07-04 02:57:25,355 | INFO | data.fetcher | Prices saved: BKNG
2026-07-04 02:57:25,367 | INFO | data.fetcher | Prices saved: AXP
2026-07-04 02:57:25,378 | INFO | data.fetcher | Prices saved: GS
2026-07-04 02:57:25,389 | INFO | data.fetcher | Prices saved: BLK
2026-07-04 02:57:25,401 | INFO | data.fetcher | Prices saved: SYK
2026-07-04 02:57:25,412 | INFO | data.fetcher | Prices saved: ISRG
2026-07-04 02:57:25,423 | INFO | data.fetcher | Prices saved: GILD
2026-07-04 02:57:25,435 | INFO | data.fetcher | Prices saved: ADI
2026-07-04 02:57:25,447 | INFO | data.fetcher | Prices saved: VRTX
2026-07-04 02:57:25,459 | INFO | data.fetcher | Prices saved: PLD
2026-07-04 02:57:25,471 | INFO | data.fetcher | Prices saved: CI
2026-07-04 02:57:25,482 | INFO | data.fetcher | Prices saved: MDLZ
2026-07-04 02:57:25,495 | INFO | data.fetcher | Prices saved: REGN
2026-07-04 02:57:25,506 | INFO | data.fetcher | Prices saved: ZTS
2026-07-04 02:57:25,517 | INFO | data.fetcher | Prices saved: CB
2026-07-04 02:57:25,529 | INFO | data.fetcher | Prices saved: BDX
2026-07-04 02:57:25,531 | INFO | data.fetcher | Prices saved: MMC
2026-07-04 02:57:25,544 | INFO | data.fetcher | Prices saved: SO
2026-07-04 02:57:25,555 | INFO | data.fetcher | Prices saved: DUK
2026-07-04 02:57:25,567 | INFO | data.fetcher | Prices saved: CL
2026-07-04 02:57:25,578 | INFO | data.fetcher | Prices saved: EOG
2026-07-04 02:57:25,589 | INFO | data.fetcher | Prices saved: SLB
2026-07-04 02:57:25,601 | INFO | data.fetcher | Prices saved: MO
2026-07-04 02:57:25,612 | INFO | data.fetcher | Prices saved: BMY
2026-07-04 02:57:25,623 | INFO | data.fetcher | Prices saved: ITW
2026-07-04 02:57:25,634 | INFO | data.fetcher | Prices saved: ELV
2026-07-04 02:57:25,646 | INFO | data.fetcher | Prices saved: AON
2026-07-04 02:57:25,658 | INFO | data.fetcher | Prices saved: CME
2026-07-04 02:57:25,668 | INFO | data.fetcher | Prices saved: PNC
2026-07-04 02:57:25,679 | INFO | data.fetcher | Prices saved: USB
2026-07-04 02:57:25,692 | INFO | data.fetcher | Prices saved: TGT
2026-07-04 02:57:25,703 | INFO | data.fetcher | Prices saved: ETN
2026-07-04 02:57:25,714 | INFO | data.fetcher | Prices saved: NOC
2026-07-04 02:57:25,725 | INFO | data.fetcher | Prices saved: FDX
2026-07-04 02:57:25,736 | INFO | data.fetcher | Prices saved: EMR
2026-07-04 02:57:25,747 | INFO | data.fetcher | Prices saved: PSA
2026-07-04 02:57:25,758 | INFO | data.fetcher | Prices saved: APD
2026-07-04 02:57:25,769 | INFO | data.fetcher | Prices saved: MCO
2026-07-04 02:57:25,780 | INFO | data.fetcher | Prices saved: TFC
2026-07-04 02:57:25,790 | INFO | data.fetcher | Prices saved: NSC
2026-07-04 02:57:25,801 | INFO | data.fetcher | Prices saved: AIG
2026-07-04 02:57:25,812 | INFO | data.fetcher | Prices saved: HUM
2026-07-04 02:57:25,822 | INFO | data.fetcher | Prices saved: FCX
2026-07-04 02:57:25,833 | INFO | data.fetcher | Prices saved: MCK
2026-07-04 02:57:25,844 | INFO | data.fetcher | Prices saved: WM
2026-07-04 02:57:25,854 | INFO | data.fetcher | Prices saved: ECL
2026-07-04 02:57:25,865 | INFO | data.fetcher | Prices saved: D
2026-07-04 02:57:25,876 | INFO | data.fetcher | Prices saved: F
2026-07-04 02:57:25,886 | INFO | data.fetcher | Prices saved: GM
2026-07-04 02:57:25,897 | INFO | data.fetcher | Prices saved: BAC
2026-07-04 02:57:25,908 | INFO | data.fetcher | Prices saved: C
2026-07-04 02:57:25,919 | INFO | data.fetcher | Prices saved: WFC
2026-07-04 02:57:25,932 | INFO | data.fetcher | Prices saved: T
2026-07-04 02:57:25,947 | INFO | data.fetcher | Prices saved: VZ
2026-07-04 02:57:25,959 | INFO | data.fetcher | Prices saved: DIS
2026-07-04 02:57:25,972 | INFO | data.fetcher | Prices saved: NFLX
2026-07-04 02:57:25,973 | INFO | __main__ | Step 3: Fetching fundamentals...
2026-07-04 02:57:26,688 | INFO | data.fetcher | Fundamentals saved: AAPL
2026-07-04 02:57:27,474 | INFO | data.fetcher | Fundamentals saved: MSFT
2026-07-04 02:57:28,269 | INFO | data.fetcher | Fundamentals saved: GOOGL
2026-07-04 02:57:29,299 | INFO | data.fetcher | Fundamentals saved: AMZN
2026-07-04 02:57:30,091 | INFO | data.fetcher | Fundamentals saved: META
2026-07-04 02:57:30,804 | INFO | data.fetcher | Fundamentals saved: TSLA
2026-07-04 02:57:31,623 | INFO | data.fetcher | Fundamentals saved: NVDA
2026-07-04 02:57:32,476 | INFO | data.fetcher | Fundamentals saved: JPM
2026-07-04 02:57:33,267 | INFO | data.fetcher | Fundamentals saved: JNJ
2026-07-04 02:57:34,008 | INFO | data.fetcher | Fundamentals saved: V
2026-07-04 02:57:34,836 | INFO | data.fetcher | Fundamentals saved: UNH
2026-07-04 02:57:35,498 | INFO | data.fetcher | Fundamentals saved: XOM
2026-07-04 02:57:36,213 | INFO | data.fetcher | Fundamentals saved: WMT
2026-07-04 02:57:36,945 | INFO | data.fetcher | Fundamentals saved: MA
2026-07-04 02:57:37,628 | INFO | data.fetcher | Fundamentals saved: PG
2026-07-04 02:57:38,290 | INFO | data.fetcher | Fundamentals saved: CVX
2026-07-04 02:57:38,990 | INFO | data.fetcher | Fundamentals saved: HD
2026-07-04 02:57:39,804 | INFO | data.fetcher | Fundamentals saved: MRK
2026-07-04 02:57:40,560 | INFO | data.fetcher | Fundamentals saved: ABBV
2026-07-04 02:57:41,348 | INFO | data.fetcher | Fundamentals saved: PEP
2026-07-04 02:57:42,161 | INFO | data.fetcher | Fundamentals saved: KO
2026-07-04 02:57:42,897 | INFO | data.fetcher | Fundamentals saved: AVGO
2026-07-04 02:57:43,726 | INFO | data.fetcher | Fundamentals saved: COST
2026-07-04 02:57:44,485 | INFO | data.fetcher | Fundamentals saved: MCD
2026-07-04 02:57:45,245 | INFO | data.fetcher | Fundamentals saved: TMO
2026-07-04 02:57:45,990 | INFO | data.fetcher | Fundamentals saved: ACN
2026-07-04 02:57:46,876 | INFO | data.fetcher | Fundamentals saved: CSCO
2026-07-04 02:57:47,783 | INFO | data.fetcher | Fundamentals saved: ABT
2026-07-04 02:57:48,637 | INFO | data.fetcher | Fundamentals saved: DHR
2026-07-04 02:57:49,386 | INFO | data.fetcher | Fundamentals saved: NEE
2026-07-04 02:57:50,178 | INFO | data.fetcher | Fundamentals saved: LIN
2026-07-04 02:57:50,883 | INFO | data.fetcher | Fundamentals saved: TXN
2026-07-04 02:57:51,689 | INFO | data.fetcher | Fundamentals saved: PM
2026-07-04 02:57:52,419 | INFO | data.fetcher | Fundamentals saved: ORCL
2026-07-04 02:57:53,098 | INFO | data.fetcher | Fundamentals saved: MS
2026-07-04 02:57:53,969 | INFO | data.fetcher | Fundamentals saved: RTX
2026-07-04 02:57:54,796 | INFO | data.fetcher | Fundamentals saved: SPGI
2026-07-04 02:57:55,560 | INFO | data.fetcher | Fundamentals saved: HON
2026-07-04 02:57:56,353 | INFO | data.fetcher | Fundamentals saved: AMGN
2026-07-04 02:57:57,248 | INFO | data.fetcher | Fundamentals saved: IBM
2026-07-04 02:57:57,946 | INFO | data.fetcher | Fundamentals saved: CAT
2026-07-04 02:57:58,774 | INFO | data.fetcher | Fundamentals saved: GE
2026-07-04 02:57:59,549 | INFO | data.fetcher | Fundamentals saved: INTU
2026-07-04 02:58:00,415 | INFO | data.fetcher | Fundamentals saved: AMAT
2026-07-04 02:58:01,162 | INFO | data.fetcher | Fundamentals saved: BKNG
2026-07-04 02:58:01,947 | INFO | data.fetcher | Fundamentals saved: AXP
2026-07-04 02:58:02,702 | INFO | data.fetcher | Fundamentals saved: GS
2026-07-04 02:58:03,441 | INFO | data.fetcher | Fundamentals saved: BLK
2026-07-04 02:58:04,383 | INFO | data.fetcher | Fundamentals saved: SYK
2026-07-04 02:58:05,076 | INFO | data.fetcher | Fundamentals saved: ISRG
2026-07-04 02:58:05,958 | INFO | data.fetcher | Fundamentals saved: GILD
2026-07-04 02:58:06,691 | INFO | data.fetcher | Fundamentals saved: ADI
2026-07-04 02:58:07,554 | INFO | data.fetcher | Fundamentals saved: VRTX
2026-07-04 02:58:08,305 | INFO | data.fetcher | Fundamentals saved: PLD
2026-07-04 02:58:09,029 | INFO | data.fetcher | Fundamentals saved: CI
2026-07-04 02:58:09,968 | INFO | data.fetcher | Fundamentals saved: MDLZ
2026-07-04 02:58:10,682 | INFO | data.fetcher | Fundamentals saved: REGN
2026-07-04 02:58:11,381 | INFO | data.fetcher | Fundamentals saved: ZTS
2026-07-04 02:58:12,116 | INFO | data.fetcher | Fundamentals saved: CB
2026-07-04 02:58:12,854 | INFO | data.fetcher | Fundamentals saved: BDX
2026-07-04 02:58:13,376 | INFO | data.fetcher | Fundamentals saved: MMC
2026-07-04 02:58:14,093 | INFO | data.fetcher | Fundamentals saved: SO
2026-07-04 02:58:14,827 | INFO | data.fetcher | Fundamentals saved: DUK
2026-07-04 02:58:15,571 | INFO | data.fetcher | Fundamentals saved: CL
2026-07-04 02:58:16,381 | INFO | data.fetcher | Fundamentals saved: EOG
2026-07-04 02:58:17,175 | INFO | data.fetcher | Fundamentals saved: SLB
2026-07-04 02:58:17,931 | INFO | data.fetcher | Fundamentals saved: MO
2026-07-04 02:58:18,679 | INFO | data.fetcher | Fundamentals saved: BMY
2026-07-04 02:58:19,391 | INFO | data.fetcher | Fundamentals saved: ITW
2026-07-04 02:58:20,063 | INFO | data.fetcher | Fundamentals saved: ELV
2026-07-04 02:58:20,781 | INFO | data.fetcher | Fundamentals saved: AON
2026-07-04 02:58:21,545 | INFO | data.fetcher | Fundamentals saved: CME
2026-07-04 02:58:22,277 | INFO | data.fetcher | Fundamentals saved: PNC
2026-07-04 02:58:22,982 | INFO | data.fetcher | Fundamentals saved: USB
2026-07-04 02:58:23,705 | INFO | data.fetcher | Fundamentals saved: TGT
2026-07-04 02:58:24,411 | INFO | data.fetcher | Fundamentals saved: ETN
2026-07-04 02:58:25,274 | INFO | data.fetcher | Fundamentals saved: NOC
2026-07-04 02:58:26,031 | INFO | data.fetcher | Fundamentals saved: FDX
2026-07-04 02:58:26,731 | INFO | data.fetcher | Fundamentals saved: EMR
2026-07-04 02:58:27,480 | INFO | data.fetcher | Fundamentals saved: PSA
2026-07-04 02:58:28,249 | INFO | data.fetcher | Fundamentals saved: APD
2026-07-04 02:58:29,000 | INFO | data.fetcher | Fundamentals saved: MCO
2026-07-04 02:58:29,721 | INFO | data.fetcher | Fundamentals saved: TFC
2026-07-04 02:58:30,421 | INFO | data.fetcher | Fundamentals saved: NSC
2026-07-04 02:58:31,221 | INFO | data.fetcher | Fundamentals saved: AIG
2026-07-04 02:58:31,899 | INFO | data.fetcher | Fundamentals saved: HUM
2026-07-04 02:58:32,626 | INFO | data.fetcher | Fundamentals saved: FCX
2026-07-04 02:58:33,325 | INFO | data.fetcher | Fundamentals saved: MCK
2026-07-04 02:58:34,068 | INFO | data.fetcher | Fundamentals saved: WM
2026-07-04 02:58:34,823 | INFO | data.fetcher | Fundamentals saved: ECL
2026-07-04 02:58:35,565 | INFO | data.fetcher | Fundamentals saved: D
2026-07-04 02:58:36,378 | INFO | data.fetcher | Fundamentals saved: F
2026-07-04 02:58:37,097 | INFO | data.fetcher | Fundamentals saved: GM
2026-07-04 02:58:37,796 | INFO | data.fetcher | Fundamentals saved: BAC
2026-07-04 02:58:38,531 | INFO | data.fetcher | Fundamentals saved: C
2026-07-04 02:58:39,284 | INFO | data.fetcher | Fundamentals saved: WFC
2026-07-04 02:58:40,182 | INFO | data.fetcher | Fundamentals saved: T
2026-07-04 02:58:40,882 | INFO | data.fetcher | Fundamentals saved: VZ
2026-07-04 02:58:41,599 | INFO | data.fetcher | Fundamentals saved: DIS
2026-07-04 02:58:42,238 | INFO | data.fetcher | Fundamentals saved: NFLX
2026-07-04 02:58:42,242 | INFO | __main__ | Step 4: Fetching news headlines...
2026-07-04 02:58:42,637 | INFO | data.news_fetcher | News fetched: AAPL (10 articles)
2026-07-04 02:58:42,813 | INFO | data.news_fetcher | News fetched: MSFT (10 articles)
2026-07-04 02:58:43,148 | INFO | data.news_fetcher | News fetched: GOOGL (10 articles)
2026-07-04 02:58:43,321 | INFO | data.news_fetcher | News fetched: AMZN (10 articles)
2026-07-04 02:58:43,506 | INFO | data.news_fetcher | News fetched: META (10 articles)
2026-07-04 02:58:43,680 | INFO | data.news_fetcher | News fetched: TSLA (10 articles)
2026-07-04 02:58:43,867 | INFO | data.news_fetcher | News fetched: NVDA (10 articles)
2026-07-04 02:58:44,045 | INFO | data.news_fetcher | News fetched: JPM (10 articles)
2026-07-04 02:58:44,276 | INFO | data.news_fetcher | News fetched: JNJ (10 articles)
2026-07-04 02:58:44,452 | INFO | data.news_fetcher | News fetched: V (10 articles)
2026-07-04 02:58:44,640 | INFO | data.news_fetcher | News fetched: UNH (10 articles)
2026-07-04 02:58:44,823 | INFO | data.news_fetcher | News fetched: XOM (10 articles)
2026-07-04 02:58:45,009 | INFO | data.news_fetcher | News fetched: WMT (10 articles)
2026-07-04 02:58:45,193 | INFO | data.news_fetcher | News fetched: MA (10 articles)
2026-07-04 02:58:45,371 | INFO | data.news_fetcher | News fetched: PG (10 articles)
2026-07-04 02:58:45,555 | INFO | data.news_fetcher | News fetched: CVX (10 articles)
2026-07-04 02:58:45,732 | INFO | data.news_fetcher | News fetched: HD (10 articles)
2026-07-04 02:58:45,909 | INFO | data.news_fetcher | News fetched: MRK (10 articles)
2026-07-04 02:58:46,085 | INFO | data.news_fetcher | News fetched: ABBV (10 articles)
2026-07-04 02:58:46,390 | INFO | data.news_fetcher | News fetched: PEP (10 articles)
2026-07-04 02:58:46,580 | INFO | data.news_fetcher | News fetched: KO (10 articles)
2026-07-04 02:58:46,765 | INFO | data.news_fetcher | News fetched: AVGO (10 articles)
2026-07-04 02:58:46,971 | INFO | data.news_fetcher | News fetched: COST (10 articles)
2026-07-04 02:58:47,155 | INFO | data.news_fetcher | News fetched: MCD (10 articles)
2026-07-04 02:58:47,339 | INFO | data.news_fetcher | News fetched: TMO (10 articles)
2026-07-04 02:58:47,574 | INFO | data.news_fetcher | News fetched: ACN (10 articles)
2026-07-04 02:58:47,769 | INFO | data.news_fetcher | News fetched: CSCO (10 articles)
2026-07-04 02:58:47,949 | INFO | data.news_fetcher | News fetched: ABT (10 articles)
2026-07-04 02:58:48,139 | INFO | data.news_fetcher | News fetched: DHR (10 articles)
2026-07-04 02:58:48,322 | INFO | data.news_fetcher | News fetched: NEE (10 articles)
2026-07-04 02:58:48,521 | INFO | data.news_fetcher | News fetched: LIN (10 articles)
2026-07-04 02:58:48,719 | INFO | data.news_fetcher | News fetched: TXN (10 articles)
2026-07-04 02:58:48,935 | INFO | data.news_fetcher | News fetched: PM (10 articles)
2026-07-04 02:58:49,129 | INFO | data.news_fetcher | News fetched: ORCL (10 articles)
2026-07-04 02:58:49,340 | INFO | data.news_fetcher | News fetched: MS (10 articles)
2026-07-04 02:58:49,536 | INFO | data.news_fetcher | News fetched: RTX (10 articles)
2026-07-04 02:58:49,720 | INFO | data.news_fetcher | News fetched: SPGI (10 articles)
2026-07-04 02:58:49,912 | INFO | data.news_fetcher | News fetched: HON (10 articles)
2026-07-04 02:58:50,093 | INFO | data.news_fetcher | News fetched: AMGN (10 articles)
2026-07-04 02:58:50,274 | INFO | data.news_fetcher | News fetched: IBM (10 articles)
2026-07-04 02:58:50,468 | INFO | data.news_fetcher | News fetched: CAT (10 articles)
2026-07-04 02:58:50,662 | INFO | data.news_fetcher | News fetched: GE (10 articles)
2026-07-04 02:58:50,849 | INFO | data.news_fetcher | News fetched: INTU (10 articles)
2026-07-04 02:58:51,033 | INFO | data.news_fetcher | News fetched: AMAT (10 articles)
2026-07-04 02:58:51,240 | INFO | data.news_fetcher | News fetched: BKNG (10 articles)
2026-07-04 02:58:51,448 | INFO | data.news_fetcher | News fetched: AXP (10 articles)
2026-07-04 02:58:51,666 | INFO | data.news_fetcher | News fetched: GS (10 articles)
2026-07-04 02:58:51,846 | INFO | data.news_fetcher | News fetched: BLK (10 articles)
2026-07-04 02:58:52,021 | INFO | data.news_fetcher | News fetched: SYK (10 articles)
2026-07-04 02:58:52,199 | INFO | data.news_fetcher | News fetched: ISRG (10 articles)
2026-07-04 02:58:52,376 | INFO | data.news_fetcher | News fetched: GILD (10 articles)
2026-07-04 02:58:52,578 | INFO | data.news_fetcher | News fetched: ADI (10 articles)
2026-07-04 02:58:52,758 | INFO | data.news_fetcher | News fetched: VRTX (10 articles)
2026-07-04 02:58:52,945 | INFO | data.news_fetcher | News fetched: PLD (10 articles)
2026-07-04 02:58:53,138 | INFO | data.news_fetcher | News fetched: CI (10 articles)
2026-07-04 02:58:53,331 | INFO | data.news_fetcher | News fetched: MDLZ (10 articles)
2026-07-04 02:58:53,510 | INFO | data.news_fetcher | News fetched: REGN (10 articles)
2026-07-04 02:58:53,706 | INFO | data.news_fetcher | News fetched: ZTS (10 articles)
2026-07-04 02:58:53,900 | INFO | data.news_fetcher | News fetched: CB (10 articles)
2026-07-04 02:58:54,096 | INFO | data.news_fetcher | News fetched: BDX (10 articles)
2026-07-04 02:58:54,279 | INFO | data.news_fetcher | News fetched: MMC (10 articles)
2026-07-04 02:58:54,460 | INFO | data.news_fetcher | News fetched: SO (10 articles)
2026-07-04 02:58:54,655 | INFO | data.news_fetcher | News fetched: DUK (10 articles)
2026-07-04 02:58:54,860 | INFO | data.news_fetcher | News fetched: CL (10 articles)
2026-07-04 02:58:55,037 | INFO | data.news_fetcher | News fetched: EOG (10 articles)
2026-07-04 02:58:55,216 | INFO | data.news_fetcher | News fetched: SLB (10 articles)
2026-07-04 02:58:55,403 | INFO | data.news_fetcher | News fetched: MO (10 articles)
2026-07-04 02:58:55,576 | INFO | data.news_fetcher | News fetched: BMY (10 articles)
2026-07-04 02:58:55,756 | INFO | data.news_fetcher | News fetched: ITW (10 articles)
2026-07-04 02:58:55,969 | INFO | data.news_fetcher | News fetched: ELV (10 articles)
2026-07-04 02:58:56,173 | INFO | data.news_fetcher | News fetched: AON (10 articles)
2026-07-04 02:58:56,365 | INFO | data.news_fetcher | News fetched: CME (10 articles)
2026-07-04 02:58:56,555 | INFO | data.news_fetcher | News fetched: PNC (10 articles)
2026-07-04 02:58:56,749 | INFO | data.news_fetcher | News fetched: USB (10 articles)
2026-07-04 02:58:56,926 | INFO | data.news_fetcher | News fetched: TGT (10 articles)
2026-07-04 02:58:57,106 | INFO | data.news_fetcher | News fetched: ETN (10 articles)
2026-07-04 02:58:57,282 | INFO | data.news_fetcher | News fetched: NOC (10 articles)
2026-07-04 02:58:57,475 | INFO | data.news_fetcher | News fetched: FDX (10 articles)
2026-07-04 02:58:57,690 | INFO | data.news_fetcher | News fetched: EMR (10 articles)
2026-07-04 02:58:57,868 | INFO | data.news_fetcher | News fetched: PSA (10 articles)
2026-07-04 02:58:58,066 | INFO | data.news_fetcher | News fetched: APD (10 articles)
2026-07-04 02:58:58,265 | INFO | data.news_fetcher | News fetched: MCO (10 articles)
2026-07-04 02:58:58,449 | INFO | data.news_fetcher | News fetched: TFC (10 articles)
2026-07-04 02:58:58,660 | INFO | data.news_fetcher | News fetched: NSC (10 articles)
2026-07-04 02:58:58,853 | INFO | data.news_fetcher | News fetched: AIG (10 articles)
2026-07-04 02:58:59,116 | INFO | data.news_fetcher | News fetched: HUM (10 articles)
2026-07-04 02:58:59,367 | INFO | data.news_fetcher | News fetched: FCX (10 articles)
2026-07-04 02:58:59,546 | INFO | data.news_fetcher | News fetched: MCK (10 articles)
2026-07-04 02:58:59,739 | INFO | data.news_fetcher | News fetched: WM (10 articles)
2026-07-04 02:58:59,935 | INFO | data.news_fetcher | News fetched: ECL (10 articles)
2026-07-04 02:59:00,142 | INFO | data.news_fetcher | News fetched: D (10 articles)
2026-07-04 02:59:00,341 | INFO | data.news_fetcher | News fetched: F (10 articles)
2026-07-04 02:59:00,529 | INFO | data.news_fetcher | News fetched: GM (10 articles)
2026-07-04 02:59:00,715 | INFO | data.news_fetcher | News fetched: BAC (10 articles)
2026-07-04 02:59:00,917 | INFO | data.news_fetcher | News fetched: C (10 articles)
2026-07-04 02:59:01,156 | INFO | data.news_fetcher | News fetched: WFC (10 articles)
2026-07-04 02:59:01,351 | INFO | data.news_fetcher | News fetched: T (10 articles)
2026-07-04 02:59:01,537 | INFO | data.news_fetcher | News fetched: VZ (10 articles)
2026-07-04 02:59:01,747 | INFO | data.news_fetcher | News fetched: DIS (10 articles)
2026-07-04 02:59:01,934 | INFO | data.news_fetcher | News fetched: NFLX (10 articles)
2026-07-04 02:59:01,934 | WARNING | data.news_fetcher | No news fetched for any ticker
2026-07-04 02:59:01,935 | INFO | __main__ | Step 5: Training and comparing 5 models...
2026-07-04 03:01:25,013 | INFO | features.technical | Technicals computed: 174240 rows
2026-07-04 03:01:25,147 | INFO | features.fundamental | Fundamental ratios computed for 456 rows
2026-07-04 03:01:27,791 | ERROR | features.valuation | Valuation failed AAPL: Too Many Requests. Rate limited. Try after a while.
2026-07-04 03:01:29,035 | ERROR | features.valuation | Valuation failed MSFT: Too Many Requests. Rate limited. Try after a while.
2026-07-04 03:01:30,282 | ERROR | features.valuation | Valuation failed GOOGL: Too Many Requests. Rate limited. Try after a while.
2026-07-04 03:01:31,543 | ERROR | features.valuation | Valuation failed AMZN: Too Many Requests. Rate limited. Try after a while.
2026-07-04 03:02:18,787 | INFO | features.technical | Technicals computed: 174240 rows
2026-07-04 03:02:18,883 | INFO | features.fundamental | Fundamental ratios computed for 456 rows
2026-07-04 03:02:18,954 | WARNING | features.valuation | No valuation cache found, fetching live...
2026-07-04 03:02:23,060 | ERROR | features.valuation | Valuation failed AAPL (attempt 1): Too Many Requests. Rate limited. Try after a while.
2026-07-04 03:02:41,343 | ERROR | features.valuation | Valuation failed AAPL (attempt 2): Too Many Requests. Rate limited. Try after a while.
